layer,causeLabel,immediateCauseLabel,contributingFactorLabel,effectLabel,immediateCauseOfLabel,contributingFactorOfLabel,coords,survivors,injured,dead,placePicture,placeLabel,countryLabel,date,item,itemLabel
More than 10 deaths,,,,,,,Point(-66.9337 10.4907),,9 injured,21 dead,http://commons.wikimedia.org/wiki/Special:FilePath/Caracas%20desde%20el%20%C3%A1vila.jpg,Caracas,Venezuela,2018-06-16T00:00:00Z,http://www.wikidata.org/entity/Q55072843,El Paraíso stampede
More than 10 deaths,,,,,,,,,78 injured,17 dead,http://commons.wikimedia.org/wiki/Special:FilePath/Port-au-Prince%20Montage.jpg,Port-au-Prince,Haiti,2015-02-17T00:00:00Z,http://www.wikidata.org/entity/Q19331319,2015 Haiti Carnival stampede
More than 10 deaths,,,,,,,,,78 injured,17 dead,http://commons.wikimedia.org/wiki/Special:FilePath/00%204399%20Haiti%20-%20Port-au-Prince.jpg,Port-au-Prince,Haiti,2015-02-17T00:00:00Z,http://www.wikidata.org/entity/Q19331319,2015 Haiti Carnival stampede
More than 10 deaths,,,,,,,,,78 injured,17 dead,http://commons.wikimedia.org/wiki/Special:FilePath/00%204395%20Haiti%20%28Port-au-Prince%29.jpg,Port-au-Prince,Haiti,2015-02-17T00:00:00Z,http://www.wikidata.org/entity/Q19331319,2015 Haiti Carnival stampede
More than 10 deaths,,,,,,,,,101 injured,16 dead,http://commons.wikimedia.org/wiki/Special:FilePath/Antananarivo01.jpg,Mahamasina Municipal Stadium,Madagascar,2019-06-26T00:00:00Z,http://www.wikidata.org/entity/Q64851154,Antananarivo stampede
More than 10 deaths,,,,,,,Point(-77.06475 -11.965666666),,6 injured,13 dead,,,,2020-08-22T00:00:00Z,http://www.wikidata.org/entity/Q98603089,los 3 cantantes
More than 10 deaths,,,,,,,Point(135.0175 34.64388889),,247 injured,11 dead,,,,2001-07-21T00:00:00Z,http://www.wikidata.org/entity/Q4700349,Akashi pedestrian bridge accident
Less than 10 deaths,,,,,,,Point(-95.407777777 29.683055555),,300 injured,10 dead,http://commons.wikimedia.org/wiki/Special:FilePath/Reliant%20Astrodome.jpg,NRG Park,United States of America,2021-11-05T00:00:00Z,http://www.wikidata.org/entity/Q109425626,2021 Astroworld stampede
Less than 10 deaths,,,,,,,Point(-73.95 40.8194),,29 injured,9 dead,,,,1991-12-28T00:00:00Z,http://www.wikidata.org/entity/Q111021605,City College stampede
Less than 10 deaths,,,,,,,Point(13.0291 43.66237),,120 injured,6 dead,http://commons.wikimedia.org/wiki/Special:FilePath/Corinaldo%20-%20Il%20paese.jpg,Corinaldo,Italy,2018-12-08T00:00:00Z,http://www.wikidata.org/entity/Q59564703,Q59564703
